,city,year,weekofyear,total_cases
0,sj,1990,18,4
1,sj,1990,19,5
2,sj,1990,20,4
3,sj,1990,21,3
4,sj,1990,22,6
5,sj,1990,24,4
6,sj,1990,25,5
7,sj,1990,26,10
8,sj,1990,28,8
9,sj,1990,29,2
10,sj,1990,30,6
11,sj,1990,34,21
12,sj,1990,35,28
13,sj,1990,36,24
14,sj,1990,37,20
15,sj,1990,38,40
16,sj,1990,39,27
17,sj,1990,40,42
18,sj,1990,41,33
19,sj,1990,43,37
20,sj,1990,44,57
21,sj,1990,45,71
22,sj,1990,46,44
23,sj,1990,47,56
24,sj,1990,48,53
25,sj,1990,49,52
26,sj,1990,50,47
27,sj,1990,51,26
28,sj,1990,52,27
29,sj,1991,1,21
30,sj,1991,4,34
31,sj,1991,5,37
32,sj,1991,6,17
33,sj,1991,7,19
34,sj,1991,9,18
35,sj,1991,10,21
36,sj,1991,12,17
37,sj,1991,13,16
38,sj,1991,14,16
39,sj,1991,15,15
40,sj,1991,16,23
41,sj,1991,18,17
42,sj,1991,19,12
43,sj,1991,21,10
44,sj,1991,22,15
45,sj,1991,23,19
46,sj,1991,24,21
47,sj,1991,25,14
48,sj,1991,26,18
49,sj,1991,30,23
50,sj,1991,32,62
51,sj,1991,34,76
52,sj,1991,35,66
53,sj,1991,36,64
54,sj,1991,37,68
55,sj,1991,38,89
56,sj,1991,39,92
57,sj,1991,40,140
58,sj,1991,41,116
59,sj,1991,42,142
60,sj,1991,43,129
61,sj,1991,44,140
62,sj,1991,45,140
63,sj,1991,46,127
64,sj,1991,47,129
65,sj,1991,48,169
66,sj,1991,49,141
67,sj,1991,50,108
68,sj,1991,52,70
69,sj,1992,2,104
70,sj,1992,3,90
71,sj,1992,4,85
72,sj,1992,6,53
73,sj,1992,11,40
74,sj,1992,12,37
75,sj,1992,14,30
76,sj,1992,15,30
77,sj,1992,16,28
78,sj,1992,17,23
79,sj,1992,18,24
80,sj,1992,19,29
81,sj,1992,20,26
82,sj,1992,21,23
83,sj,1992,23,19
84,sj,1992,24,20
85,sj,1992,25,26
86,sj,1992,26,29
87,sj,1992,27,31
88,sj,1992,29,26
89,sj,1992,30,32
90,sj,1992,31,35
91,sj,1992,32,33
92,sj,1992,33,30
93,sj,1992,34,52
94,sj,1992,35,59
95,sj,1992,37,65
96,sj,1992,38,74
97,sj,1992,39,70
98,sj,1992,40,61
99,sj,1992,41,53
100,sj,1992,42,76
101,sj,1992,43,61
102,sj,1992,44,57
103,sj,1992,45,44
104,sj,1992,46,34
105,sj,1992,47,47
106,sj,1992,48,60
107,sj,1992,49,60
108,sj,1992,50,53
109,sj,1992,52,31
110,sj,1993,1,32
111,sj,1993,2,28
112,sj,1993,4,33
113,sj,1993,5,35
114,sj,1993,6,22
115,sj,1993,7,13
116,sj,1993,9,21
117,sj,1993,10,17
118,sj,1993,11,11
119,sj,1993,12,8
120,sj,1993,13,8
121,sj,1993,15,6
122,sj,1993,16,7
123,sj,1993,18,17
124,sj,1993,19,10
125,sj,1993,20,10
126,sj,1993,21,18
127,sj,1993,22,19
128,sj,1993,25,12
129,sj,1993,26,21
130,sj,1993,27,18
131,sj,1993,28,16
132,sj,1993,29,16
133,sj,1993,30,22
134,sj,1993,32,25
135,sj,1993,33,23
136,sj,1993,34,12
137,sj,1993,35,25
138,sj,1993,36,28
139,sj,1993,37,27
140,sj,1993,38,18
141,sj,1993,39,23
142,sj,1993,40,23
143,sj,1993,41,29
144,sj,1993,43,36
145,sj,1993,45,46
146,sj,1993,46,31
147,sj,1993,47,25
148,sj,1993,48,40
149,sj,1993,50,38
150,sj,1993,51,30
151,sj,1994,1,31
152,sj,1994,2,26
153,sj,1994,3,35
154,sj,1994,4,36
155,sj,1994,5,39
156,sj,1994,6,25
157,sj,1994,7,31
158,sj,1994,10,25
159,sj,1994,11,24
160,sj,1994,12,18
161,sj,1994,13,23
162,sj,1994,14,13
163,sj,1994,15,18
164,sj,1994,17,17
165,sj,1994,18,22
166,sj,1994,19,13
167,sj,1994,20,24
168,sj,1994,21,31
169,sj,1994,22,34
170,sj,1994,23,31
171,sj,1994,25,38
172,sj,1994,26,49
173,sj,1994,27,42
174,sj,1994,28,49
175,sj,1994,29,55
176,sj,1994,30,80
177,sj,1994,32,72
178,sj,1994,33,89
179,sj,1994,34,115
180,sj,1994,35,179
181,sj,1994,36,202
182,sj,1995,52,154
183,sj,1995,1,91
184,sj,1995,3,56
185,sj,1995,4,46
186,sj,1995,6,26
187,sj,1995,8,17
188,sj,1995,9,20
189,sj,1995,10,11
190,sj,1995,11,7
191,sj,1995,12,16
192,sj,1995,13,14
193,sj,1995,16,2
194,sj,1995,17,6
195,sj,1995,19,4
196,sj,1995,20,3
197,sj,1995,21,4
198,sj,1995,23,8
199,sj,1995,24,7
200,sj,1995,25,10
201,sj,1995,26,14
202,sj,1995,27,7
203,sj,1995,29,11
204,sj,1995,31,17
205,sj,1995,32,19
206,sj,1995,33,24
207,sj,1995,34,17
208,sj,1995,35,28
209,sj,1995,36,40
210,sj,1995,37,33
211,sj,1995,38,31
212,sj,1995,39,33
213,sj,1995,40,29
214,sj,1995,41,30
215,sj,1995,42,36
216,sj,1995,44,40
217,sj,1995,45,28
218,sj,1995,46,36
219,sj,1995,47,19
220,sj,1995,49,23
221,sj,1995,50,17
222,sj,1996,1,23
223,sj,1996,2,14
224,sj,1996,3,20
225,sj,1996,4,13
226,sj,1996,5,23
227,sj,1996,6,20
228,sj,1996,7,16
229,sj,1996,9,23
230,sj,1996,11,15
231,sj,1996,12,4
232,sj,1996,14,5
233,sj,1996,15,11
234,sj,1996,16,11
235,sj,1996,18,4
236,sj,1996,19,6
237,sj,1996,21,2
238,sj,1996,22,4
239,sj,1996,23,2
240,sj,1996,24,4
241,sj,1996,25,6
242,sj,1996,26,6
243,sj,1996,28,6
244,sj,1996,29,11
245,sj,1996,30,16
246,sj,1996,31,9
247,sj,1996,33,13
248,sj,1996,35,21
249,sj,1996,36,19
250,sj,1996,37,17
251,sj,1996,39,27
252,sj,1996,40,30
253,sj,1996,41,29
254,sj,1996,43,35
255,sj,1996,44,33
256,sj,1996,45,30
257,sj,1996,46,29
258,sj,1996,49,22
259,sj,1996,52,26
260,sj,1997,1,29
261,sj,1997,3,33
262,sj,1997,4,24
263,sj,1997,5,30
264,sj,1997,6,20
265,sj,1997,7,17
266,sj,1997,8,24
267,sj,1997,12,9
268,sj,1997,13,14
269,sj,1997,15,11
270,sj,1997,16,19
271,sj,1997,17,10
272,sj,1997,18,8
273,sj,1997,19,8
274,sj,1997,20,9
275,sj,1997,21,3
276,sj,1997,22,7
277,sj,1997,23,14
278,sj,1997,24,4
279,sj,1997,25,9
280,sj,1997,26,14
281,sj,1997,27,7
282,sj,1997,28,9
283,sj,1997,29,3
284,sj,1997,31,14
285,sj,1997,32,12
286,sj,1997,33,10
287,sj,1997,35,26
288,sj,1997,36,47
289,sj,1997,37,42
290,sj,1997,38,31
291,sj,1997,39,34
292,sj,1997,40,33
293,sj,1997,41,52
294,sj,1997,42,56
295,sj,1997,46,47
296,sj,1997,48,49
297,sj,1997,49,66
298,sj,1997,52,67
299,sj,1998,2,68
300,sj,1998,3,49
301,sj,1998,4,50
302,sj,1998,5,56
303,sj,1998,6,75
304,sj,1998,7,63
305,sj,1998,9,41
306,sj,1998,10,50
307,sj,1998,12,31
308,sj,1998,14,30
309,sj,1998,15,32
310,sj,1998,16,26
311,sj,1998,17,30
312,sj,1998,18,36
313,sj,1998,21,48
314,sj,1998,22,44
315,sj,1998,23,51
316,sj,1998,24,59
317,sj,1998,25,71
318,sj,1998,26,102
319,sj,1998,27,128
320,sj,1998,28,127
321,sj,1998,29,150
322,sj,1998,30,191
323,sj,1998,31,256
324,sj,1998,32,329
325,sj,1998,33,263
326,sj,1998,34,220
327,sj,1998,35,204
328,sj,1998,36,181
329,sj,1998,37,99
330,sj,1998,39,80
331,sj,1998,40,102
332,sj,1998,43,68
333,sj,1998,44,64
334,sj,1998,46,67
335,sj,1998,48,85
336,sj,1998,49,67
337,sj,1998,50,73
338,sj,1998,51,89
339,sj,1998,52,68
340,sj,1999,2,77
341,sj,1999,3,75
342,sj,1999,4,47
343,sj,1999,7,28
344,sj,1999,8,37
345,sj,1999,9,37
346,sj,1999,10,27
347,sj,1999,11,12
348,sj,1999,12,15
349,sj,1999,13,22
350,sj,1999,15,15
351,sj,1999,16,17
352,sj,1999,17,10
353,sj,1999,18,9
354,sj,1999,22,11
355,sj,1999,23,16
356,sj,1999,27,14
357,sj,1999,28,13
358,sj,1999,29,15
359,sj,1999,30,30
360,sj,1999,31,25
361,sj,1999,33,44
362,sj,1999,34,25
363,sj,1999,36,48
364,sj,1999,37,56
365,sj,1999,38,60
366,sj,1999,39,45
367,sj,1999,40,55
368,sj,1999,41,32
369,sj,1999,44,42
370,sj,1999,45,37
371,sj,1999,46,43
372,sj,1999,47,34
373,sj,1999,48,40
374,sj,1999,50,16
375,sj,1999,51,17
376,sj,2000,52,17
377,sj,2000,1,16
378,sj,2000,2,23
379,sj,2000,3,18
380,sj,2000,4,18
381,sj,2000,5,9
382,sj,2000,7,7
383,sj,2000,9,3
384,sj,2000,10,2
385,sj,2000,11,8
386,sj,2000,12,3
387,sj,2000,14,1
388,sj,2000,15,2
389,sj,2000,16,3
390,sj,2000,17,3
391,sj,2000,18,2
392,sj,2000,20,0
393,sj,2000,21,2
394,sj,2000,22,2
395,sj,2000,23,0
396,sj,2000,24,6
397,sj,2000,25,3
398,sj,2000,26,6
399,sj,2000,27,2
400,sj,2000,28,3
401,sj,2000,29,2
402,sj,2000,30,4
403,sj,2000,31,5
404,sj,2000,32,2
405,sj,2000,33,9
406,sj,2000,34,2
407,sj,2000,36,8
408,sj,2000,37,6
409,sj,2000,38,3
410,sj,2000,40,14
411,sj,2000,41,15
412,sj,2000,42,20
413,sj,2000,43,9
414,sj,2000,44,20
415,sj,2000,45,28
416,sj,2000,46,38
417,sj,2000,48,30
418,sj,2000,49,23
419,sj,2000,50,16
420,sj,2000,51,22
421,sj,2001,1,28
422,sj,2001,2,14
423,sj,2001,4,20
424,sj,2001,5,17
425,sj,2001,7,13
426,sj,2001,8,20
427,sj,2001,9,9
428,sj,2001,10,18
429,sj,2001,11,9
430,sj,2001,12,8
431,sj,2001,14,11
432,sj,2001,16,6
433,sj,2001,19,13
434,sj,2001,20,8
435,sj,2001,21,8
436,sj,2001,22,5
437,sj,2001,23,16
438,sj,2001,25,11
439,sj,2001,26,18
440,sj,2001,27,10
441,sj,2001,28,22
442,sj,2001,29,14
443,sj,2001,30,16
444,sj,2001,31,18
445,sj,2001,32,27
446,sj,2001,33,38
447,sj,2001,34,35
448,sj,2001,36,51
449,sj,2001,37,65
450,sj,2001,38,55
451,sj,2001,39,54
452,sj,2001,40,62
453,sj,2001,41,64
454,sj,2001,43,65
455,sj,2001,44,71
456,sj,2001,45,75
457,sj,2001,46,71
458,sj,2001,47,72
459,sj,2001,48,47
460,sj,2001,49,27
461,sj,2001,50,35
462,sj,2001,51,25
463,sj,2001,52,19
464,sj,2002,1,37
465,sj,2002,2,38
466,sj,2002,3,34
467,sj,2002,4,26
468,sj,2002,6,18
469,sj,2002,7,22
470,sj,2002,8,16
471,sj,2002,9,18
472,sj,2002,10,6
473,sj,2002,11,12
474,sj,2002,12,6
475,sj,2002,13,6
476,sj,2002,14,3
477,sj,2002,15,7
478,sj,2002,17,1
479,sj,2002,18,3
480,sj,2002,19,2
481,sj,2002,20,2
482,sj,2002,21,1
483,sj,2002,22,10
484,sj,2002,23,3
485,sj,2002,27,2
486,sj,2002,28,6
487,sj,2002,30,3
488,sj,2002,31,5
489,sj,2002,32,4
490,sj,2002,33,7
491,sj,2002,34,6
492,sj,2002,35,5
493,sj,2002,36,7
494,sj,2002,37,6
495,sj,2002,39,4
496,sj,2002,40,7
497,sj,2002,41,9
498,sj,2002,43,5
499,sj,2002,44,10
500,sj,2002,45,6
501,sj,2002,46,13
502,sj,2002,48,5
503,sj,2002,49,5
504,sj,2002,50,9
505,sj,2002,51,3
506,sj,2002,52,6
507,sj,2003,1,11
508,sj,2003,2,7
509,sj,2003,3,7
510,sj,2003,4,15
511,sj,2003,5,9
512,sj,2003,6,6
513,sj,2003,8,6
514,sj,2003,9,7
515,sj,2003,10,10
516,sj,2003,11,8
517,sj,2003,12,7
518,sj,2003,13,12
519,sj,2003,14,3
520,sj,2003,15,2
521,sj,2003,17,5
522,sj,2003,18,5
523,sj,2003,19,7
524,sj,2003,20,7
525,sj,2003,22,7
526,sj,2003,24,13
527,sj,2003,25,10
528,sj,2003,26,14
529,sj,2003,27,11
530,sj,2003,29,25
531,sj,2003,30,17
532,sj,2003,31,18
533,sj,2003,32,25
534,sj,2003,33,21
535,sj,2003,34,31
536,sj,2003,37,35
537,sj,2003,38,28
538,sj,2003,39,37
539,sj,2003,41,34
540,sj,2003,42,30
541,sj,2003,43,39
542,sj,2003,44,39
543,sj,2003,46,34
544,sj,2003,47,30
545,sj,2003,48,37
546,sj,2003,49,29
547,sj,2003,50,26
548,sj,2003,51,15
549,sj,2003,52,22
550,sj,2004,2,20
551,sj,2004,4,10
552,sj,2004,5,21
553,sj,2004,7,14
554,sj,2004,8,9
555,sj,2004,9,11
556,sj,2004,10,5
557,sj,2004,11,6
558,sj,2004,13,11
559,sj,2004,15,3
560,sj,2004,16,2
561,sj,2004,20,5
562,sj,2004,21,3
563,sj,2004,22,12
564,sj,2004,23,13
565,sj,2004,24,10
566,sj,2004,25,13
567,sj,2004,26,13
568,sj,2004,28,21
569,sj,2004,29,18
570,sj,2004,30,8
571,sj,2004,31,7
572,sj,2004,32,20
573,sj,2004,33,14
574,sj,2004,34,14
575,sj,2004,35,7
576,sj,2004,36,14
577,sj,2004,37,10
578,sj,2004,40,13
579,sj,2004,41,18
580,sj,2004,43,16
581,sj,2004,44,20
582,sj,2004,45,17
583,sj,2004,46,4
584,sj,2004,47,15
585,sj,2004,48,8
586,sj,2004,49,6
587,sj,2004,50,12
588,sj,2004,51,15
589,sj,2004,52,11
590,sj,2005,1,15
591,sj,2005,2,17
592,sj,2005,3,7
593,sj,2005,4,7
594,sj,2005,5,8
595,sj,2005,6,9
596,sj,2005,8,12
597,sj,2005,9,5
598,sj,2005,11,11
